,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
p2674_POS,p2674_POS,plasma,MTBL,E,16.506593899941524,0.11066756103020481
p1103_POS,p1103_POS,plasma,MTBL,E,15.12274952153945,0.08006030024478861
p5313_POS,p5313_POS,plasma,MTBL,E,12.875305677508225,0.10917990533042499
Sunitinib_POS,Sunitinib_POS,plasma,MTBL,E,12.470205328296425,0.3161631686965656
p4929_POS,p4929_POS,plasma,MTBL,E,13.11332922995526,0.29610657685488384
p2153_POS,p2153_POS,plasma,MTBL,E,20.97475204711697,0.08361222396325729
p3302_POS,p3302_POS,plasma,MTBL,E,12.62172450890538,0.11895149961782359
(E)-3-(2-(1H-Tetrazol-5-YL)vinyl)-6-fluoro-1H-indole_POS,(E)-3-(2-(1H-Tetrazol-5-YL)vinyl)-6-fluoro-1H-indole_POS,plasma,MTBL,E,13.415005019464733,0.2729411151627854
Norfentanyl_POS,Norfentanyl_POS,plasma,MTBL,E,13.846492279812615,0.352997436884273
p2386_POS,p2386_POS,plasma,MTBL,E,20.262301196228112,0.10684318314228847
p5174_POS,p5174_POS,plasma,MTBL,E,17.901180735562658,0.06212071829730803
p5231_POS,p5231_POS,plasma,MTBL,E,13.551520440298964,0.0750231823690477
p5766_POS,p5766_POS,plasma,MTBL,E,10.504906747561344,0.028324833224615986
p2783_POS,p2783_POS,plasma,MTBL,E,19.250176768719985,0.2951421891328039
p5535_POS,p5535_POS,plasma,MTBL,E,15.518421009264214,0.13858640935361244
p3206_POS,p3206_POS,plasma,MTBL,E,19.1590451742886,0.23454777388087322
p2422_POS,p2422_POS,plasma,MTBL,E,15.624998998294918,0.2673084155534511
p2660_POS,p2660_POS,plasma,MTBL,E,20.239639549948265,0.1574413085015074
